hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi,hi
8467,17562,21086,32583,39964,70423,70423,92564,86168,92406,98644,90477,90477,79890,73261,63272,65494,56176,64564,67283,47930,50953,48343,55965,54261,56314,46631,45170,51269,44189,42002,40285,37000,45320,45726,44033,40177,68040,48286,51953,60423,49064,45345,48492,48646,35507,39783,41009,64607,42045,53597,47524,24549,26514,24700,23493,23368,24348,31467,28309,27489,26591,30507,31182,32869,28722,27895,27002
8472,0,0,0,39,8,8,40,21,29,30,38,38,76,64,69,92,153,855,864,1235,1829,2146,2732,2855,2989,3317,4237,4736,7065,5423,5023,3833,5130,5779,7001,7075,5744,5657,5133,5996,7032,9448,9053,9396,10450,10953,11141,15455,38513,48658,35945,32998,30052,10923,9726,9445,9279,13814,11206,8246,8750,10698,9665,10643,9749,8445,7292
8903,197,199,414,691,4180,4180,2830,3832,3268,2548,8056,8056,8405,8034,12478,6661,5670,6511,5919,6022,6178,13601,13924,12751,13711,11139,10518,11290,6542,83494,255384,352920,282535,253625,419614,413019,507542,775496,863699,1243011,1491174,1376826,1521931,1938006,3190692,2704933,2923800,2989821,3313455,3985279,3947260,3918211,4083670,4048745,4164215,4936550,4982005,5503875,5625212,5680326,5768912,6242026,6715140,5826262,5992986,6142018,5930603
9330,174,111,326,247,301,301,800,1481,1284,3252,3033,3033,2633,2395,2089,2513,2360,2207,2844,2286,2553,2697,2291,2246,1846,2274,3183,6501,9819,2801,3737,4050,3351,3761,5168,4789,5150,11843,5362,6291,7033,9161,9826,7812,7892,9387,9572,11292,10741,11508,10165,9584,12375,11675,9695,7683,7134,8413,7740,7297,6158,6566,6028,5795,6580,8026,16585
9799,6736,4650,2949,3858,4245,4245,9083,5875,4580,5461,10043,10043,7634,5225,4720,5955,5251,5635,6437,5401,7083,6818,8864,7176,6311,6898,5926,8652,8235,7980,8128,6017,7548,7791,9332,10918,10717,12300,9778,10251,6090,5802,7019,4360,4792,4960,5500,6159,5304,4985,4227,2707,2629,2337,3484,2679,3778,3263,2907,9686,10449,10611,8057,7540,6715,5735,5005
9800,1558,1261,1227,2606,3264,3264,6725,3511,3413,4942,7173,7173,9017,4998,2889,3511,3459,6454,5488,4035,5577,6368,7317,5255,4639,4969,4087,6114,5724,4795,5068,3701,4905,3557,3970,5199,5258,5317,2717,4069,2804,2713,3706,2408,3292,3469,3878,3502,2444,2818,2211,1262,1200,1000,2416,1505,1798,1599,1383,8614,9642,8611,7580,7323,6509,5526,4698
9802,2421,2338,2571,2449,2778,2778,2801,2786,3188,3470,3703,3703,4402,3979,5066,4636,5104,5341,4758,3771,4257,4437,5571,4937,7493,6854,6582,6339,5779,7337,6859,4406,6225,7167,6872,6578,6792,5559,4800,5064,4209,4756,6558,4120,3503,4074,4202,3907,3716,4041,4419,4227,4069,3279,3236,2960,3318,3586,3747,2929,2585,2932,2719,3192,3360,3161,2571
10029,178,125,4022,4376,588,588,8738,1961,12648,4600,5620,5620,3760,13621,12052,10483,10752,12272,13655,10020,8158,6287,7361,9014,7095,7089,7693,5133,4762,5419,5466,4705,4507,9064,9263,4533,3590,4075,3779,2849,2418,2939,2316,2412,2271,4532,4210,4839,8565,7425,10252,9246,10011,9017,2638,1971,1988,2310,2453,5779,7594,2449,1185,1459,1334,1485,942
10326,79,15,23,31,31,31,25,19,669,772,764,764,717,1412,1403,865,1046,1227,1037,884,1030,1067,1537,1045,1032,1246,1002,1058,992,1414,1089,842,1018,963,1128,1021,928,1072,1262,2294,1588,1272,1225,1534,3742,2901,3180,5675,10032,13623,5411,3639,2700,4643,4388,6705,4664,5187,3823,5148,4666,5197,6244,2876,3275,2804,2716
10907,140,131,131,141,239,239,329,196,392,392,193,193,2014,553,172,230,171,1576,60884,30379,7207,5627,4840,3146,3314,2881,4352,10092,10064,7388,14903,5782,6075,4058,4206,3258,7394,10345,14076,28369,15002,157,208,187,242,178,383,385,3118,33830,37447,40782,46281,34456,36389,38307,34418,35215,32203,39838,38985,56245,46393,57572,68752,62400,61609
11269,997,1421,1828,2325,1843,1843,3666,2934,3872,5052,5541,5541,6016,5866,8394,7797,9527,8605,8930,10004,10090,7087,9164,8327,11504,12812,10630,10767,9460,12423,14634,10897,15617,14381,18275,15933,15019,16470,16853,18887,15534,19216,19982,17042,21911,24937,22944,26523,23809,28252,28252,27162,37256,38222,41581,51145,56790,59281,65819,56761,69564,108490,85128,61767,68890,64972,58788
11318,50,3256,5394,2657,1680,1680,4979,5147,3773,31,23,23,40,14,22,35,35,47,45,24,13,9,24,15,16,18,19,22,14,38,106,189,302,169,190,179,105,97,175,281,382,367,414,375,499,491,548,441,485,333,275,200,153,241,97,5289,7544,10558,5225,8206,10212,9008,7267,8886,3610,3280,5114
11361,165,140,173,170,118,118,253,164,186,279,236,236,393,511,466,536,436,501,905,589,494,426,511,578,1172,1222,897,1128,2399,2278,1836,1370,1371,1904,2680,2279,2544,3218,5186,3113,3176,9447,8787,7048,8052,8893,7872,11175,7834,9549,7733,7620,8995,9460,8012,7853,8239,8893,10247,11175,11368,10828,10289,12151,11580,9361,8010
11385,2573,4750,5251,11692,16082,16082,140535,192231,193094,179437,147110,147110,114784,35033,25757,17262,21139,14650,14817,11343,7785,27013,25593,8033,7170,6974,11365,17671,16203,16487,13488,17872,24248,22965,24032,10852,9077,10107,13012,12489,12892,12392,13508,12670,13412,14102,17232,18097,15046,23502,26638,25481,19276,19332,16434,18253,19049,22727,18759,14612,16699,21438,25853,55076,73380,12877,14501
